"1","antelope","Bovidae"
"2","argali sheep","Bovidae"
"3","bison","Bovidae"
"4","buffalo","Bovidae"
"5","cow","Bovidae"
"6","sheep","Bovidae"
"7","arctic fox","Canidae"
"8","dog","Canidae"
"9","fox","Canidae"
"10","wolf","Canidae"
"11","beaver","Castoridae"
"12","alouatta","Cercopithecidae"
"13","monkey","Cercopithecidae"
"14","noisy night monkey","Cercopithecidae"
"15","spider monkey","Cercopithecidae"
"16","uakari","Cercopithecidae"
"17","deer","Cervidae"
"18","moose","Cervidae"
"19","hamster","Cricetidae"
"20","elephant","Elephantidae"
"21","horse","Equidae"
"22","zebra","Equidae"
"23","bobcat","Felidae"
"24","cat","Felidae"
"25","cheetah","Felidae"
"26","jaguar","Felidae"
"27","king cheetah","Felidae"
"28","leopard","Felidae"
"29","lion","Felidae"
"30","panther","Felidae"
"31","snow leopard","Felidae"
"32","tiger","Felidae"
"33","giraffe","Giraffidae"
"34","hippo","Hippopotamidae"
"35","chimpanzee","Hominidae"
"36","gorilla","Hominidae"
"37","orangutan","Hominidae"
"38","rabbit","Leporidae"
"39","skunk","Mephitidae"
"40","mouse","Muridae"
"41","rat","Muridae"
"42","otter","Mustelidae"
"43","weasel","Mustelidae"
"44","raccoon","Procyonidae"
"45","rhino","Rhinocerotidae"
"46","marmot","Sciuridae"
"47","squirrel","Sciuridae"
"48","pig","Suidae"
"49","mole","Talpidae"
"50","black bear","Ursidae"
"51","brown bear","Ursidae"
"52","panda","Ursidae"
"53","polar bear","Ursidae"
"54","bat","Vespertilionidae"
